chrom	length
CHR1	53807401
CHR2	53230543
CHR3	46351446
CHR4	44639843
CHR5	65146079
CHR6	36339123
CHR7	47275045
CHR8	35503798
CHR9	27201578
CHR10	22848598
CHR11	49412164
scaffold_21	9485000
scaffold_22	9242300
scaffold_23	8114000
scaffold_25	6388831
scaffold_26	6283100
scaffold_27	6086092
scaffold_28	5774680
scaffold_29	5301000
scaffold_30	5037608
scaffold_31	4776070
scaffold_32	4743000
scaffold_33	4692000
scaffold_34	4551000
scaffold_35	4514570
scaffold_36	4119000
scaffold_37	4033100
scaffold_38	4028850
scaffold_39	3929000
scaffold_40	3785329
scaffold_41	3656842
scaffold_42	3648324
scaffold_43	3594000
scaffold_44	3449100
scaffold_45	3318443
scaffold_46	3292616
scaffold_47	3245000
scaffold_48	3221095
scaffold_49	3215000
scaffold_50	3205000
scaffold_51	3178000
scaffold_52	2885709
scaffold_53	2834512
scaffold_54	2802794
scaffold_55	2788050
scaffold_56	2741000
scaffold_57	2736912
scaffold_59	2596997
scaffold_60	2578000
scaffold_61	2575246
scaffold_62	2545477
scaffold_63	2497100
scaffold_64	2478000
scaffold_65	2345521
scaffold_66	2230859
scaffold_67	2217820
scaffold_68	2208000
scaffold_69	2192116
scaffold_70	2168824
scaffold_71	2158000
scaffold_72	2037374
scaffold_73	2028292
scaffold_74	1992099
scaffold_75	1875098
scaffold_76	1851022
scaffold_77	1715678
scaffold_78	1701000
scaffold_79	1683371
scaffold_80	1679000
scaffold_81	1674000
scaffold_82	1671100
scaffold_83	1653000
scaffold_84	1649879
scaffold_85	1588000
scaffold_86	1578180
scaffold_87	1567033
scaffold_88	1460976
scaffold_89	1431000
scaffold_90	1365925
scaffold_91	1347347
scaffold_92	1347000
scaffold_93	1317049
scaffold_94	1288100
scaffold_95	1210000
scaffold_96	1209548
scaffold_97	1205100
scaffold_98	1164313
scaffold_99	1115313
scaffold_100	1114000
scaffold_101	1080750
scaffold_102	1069000
scaffold_103	1060270
scaffold_104	1057667
scaffold_105	1050225
scaffold_106	1037323
scaffold_107	1026335
scaffold_108	1001560
scaffold_109	987000
scaffold_110	980674
scaffold_111	965000
scaffold_112	964521
scaffold_113	929000
scaffold_114	911982
scaffold_115	900000
scaffold_116	891000
scaffold_117	877000
scaffold_118	871291
scaffold_119	867000
scaffold_120	858423
scaffold_121	847000
scaffold_122	842513
scaffold_123	840049
scaffold_124	829072
