"scaffold","start","end","mid","sites","pi_S_HUE_T","pi_S_COT_S","dxy_S_HUE_T_S_COT_S","Fst_S_HUE_T_S_COT_S","S_S_HUE_T_egg","S_S_COT_S_egg","Pi_S_HUE_T_egg","Pi_S_COT_S_egg","thetaW_S_HUE_T_egg","thetaW_S_COT_S_egg","D_S_HUE_T_egg","D_S_COT_S_egg","lseff_S_HUE_T_egg","lseff_S_COT_S_egg","FstWC_S_HUE_T_S_COT_S_egg","Dxy_S_HUE_T_S_COT_S_egg","lseff_S_HUE_T_S_COT_S_egg","col"
"CM008230.1_RagTag",1,50000,19028,7277,0.018,0.0141,0.0173,0.0388,"30","100","10.8833","31.0825","11.5702","36.7937","-0.3147","-0.8014",580,2048,"-0.0069","0.0271",34,"#0A0000"
"CM008230.1_RagTag",50001,100000,81346,6873,0.0119,0.0123,0.0149,0.1084,"16","66","6.081","26.1516","5.887","24.2838","0.1597","0.3945",578,2127,"-0.025","0.0091",99,"#210000"
"CM008230.1_RagTag",100001,150000,121910,11071,0.0257,0.0255,0.0295,0.0751,"57","335","23.4873","127.2905","20.9724","123.2589","0.6132","0.1704",823,4699,"0.0668","0.0318",403,"#170000"
"CM008230.1_RagTag",150001,200000,174699,22498,0.0404,0.0381,0.0453,0.0748,"359","1065","131.8746","383.9611","132.0894","391.8528","-0.0085","-0.1052",3127,10056,"0.0841","0.0635",1278,"#170000"
"CM008230.1_RagTag",200001,250000,228276,18224,0.0432,0.0377,0.0492,0.1019,"659","744","247.2214","254.5452","242.4704","273.7451","0.1023","-0.3662",5703,6686,"0.1486","0.0788",1086,"#1E0000"
"CM008230.1_RagTag",250001,300000,277940,9546,0.0142,0.0181,0.017,0.0276,"50","149","15.596","54.5722","18.3968","54.8226","-0.7762","-0.0237",1213,2823,"0.0278","0.0183",525,"#070000"
"CM008230.1_RagTag",300001,350000,324013,14993,0.0112,0.009,0.0111,0.0501,"85","99","29.2595","31.6198","31.2746","36.4258","-0.3319","-0.6811",2348,3157,"0.0111","0.0172",599,"#0F0000"
"CM008230.1_RagTag",350001,400000,376671,14076,0.0123,0.0116,0.0132,0.0512,"125","101","42.4151","35.427","45.9921","37.1616","-0.4026","-0.241",3268,2675,"0.0086","0.0274",659,"#0F0000"
"CM008230.1_RagTag",400001,450000,426863,15237,0.0137,0.0122,0.013,0.0031,"183","172","67.5786","62.4341","67.3325","63.2852","0.019","-0.0698",5191,4636,"-0.0124","0.0158",2313,"#000000"
"CM008230.1_RagTag",450001,500000,476185,15837,0.0097,0.0087,0.0095,0.0162,"96","94","36.2159","34.7508","35.3219","34.5861","0.1306","0.0246",3824,4105,"-0.0165","0.0098",1654,"#050000"
"CM008230.1_RagTag",500001,550000,525424,13187,0.0153,0.0147,0.0167,0.0581,"102","99","35.7127","32.6643","37.5296","36.4258","-0.25","-0.5331",2065,2168,"0.007","0.0271",380,"#120000"
"CM008230.1_RagTag",550001,600000,579949,15060,0.0251,0.0191,0.0229,0.0192,"173","137","68.8444","50.1706","63.6531","50.4074","0.4234","-0.0243",2433,2530,"-0.0046","0.0334",655,"#050000"
"CM008230.1_RagTag",600001,650000,622734,16583,0.0509,0.0491,0.0496,0,"468","491","169.6238","179.7468","172.1945","180.657","-0.0779","-0.0263",3231,3533,"-0.0253","0.0662",1523,"#000000"
"CM008230.1_RagTag",650001,700000,672987,18086,0.044,0.0444,0.0452,0.0112,"381","374","143.0175","126.9325","140.184","137.6084","0.1054","-0.4044",3120,2911,"-0.0243","0.0719",1042,"#020000"
"CM008230.1_RagTag",700001,750000,725840,14146,0.0442,0.0464,0.0454,0.0017,"480","479","173.5151","162.0341","176.6097","176.2418","-0.0914","-0.4205",3941,3316,"-0.0084","0.0559",1638,"#000000"
"CM008230.1_RagTag",750001,800000,775432,15072,0.0226,0.0211,0.0247,0.0644,"25","23","7.3897","7.877","9.1984","8.4625","-0.9784","-0.3429",265,338,"0.0171","0.0347",79,"#140000"
"CM008230.1_RagTag",800001,850000,824683,16105,0.0896,0.0295,0.0689,0.2422,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#4D0000"
"CM008230.1_RagTag",850001,900000,874140,21110,0.1102,0.0361,0.0645,0,"None","1","None","0.4286","None","0.3857","None","0.3335",0,15,"None","None",0,"#000000"
"CM008230.1_RagTag",900001,950000,924434,22655,0.0218,0.0181,0.0201,0.006,"6","6","1.7333","1.2","2.1209","2.1209","-0.756","-1.7963",79,80,"0.0261","0.0227",66,"#000000"
"CM008230.1_RagTag",950001,1000000,973192,22425,0.0137,0.0104,0.0108,0,"1","1","0.5357","0.3556","0.3857","0.3679","1.1665","-0.0925",55,41,"None","None",0,"#000000"
"CM008230.1_RagTag",1000001,1050000,1025428,23275,0.0175,0.0093,0.0203,0.0175,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#050000"
"CM008230.1_RagTag",1050001,1100000,1070686,19758,0.0029,0.0019,0.005,0.3529,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#710000"
"CM008230.1_RagTag",1100001,1150000,1125077,23714,0.003,0.0029,0.009,0.4911,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#9D0000"
"CM008230.1_RagTag",1150001,1200000,1174230,22811,0.0191,0.0304,0.0343,0.1156,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#240000"
"CM008230.1_RagTag",1200001,1250000,1225764,22059,0.0347,0.0205,0.0491,0.2896,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#5C0000"
"CM008230.1_RagTag",1250001,1300000,1274230,17257,0.0353,0.025,0.0449,0.2054,"2","5","0.8214","1.5722","0.7359","1.9284","0.4","-0.8375",4,21,"0.1111","0.1",2,"#400000"
"CM008230.1_RagTag",1300001,1350000,1323526,16299,0.0152,0.0142,0.0152,0.0183,"243","235","90.7024","85.531","89.4087","86.4652","0.0753","-0.0562",5633,5640,"-0.0043","0.0208",2356,"#050000"
"CM008230.1_RagTag",1350001,1400000,1372541,14569,0.0402,0.0294,0.0388,0.0567,"348","532","138.146","195.1119","128.042","195.7424","0.4112","-0.0168",3343,6543,"0.0173","0.0639",1665,"#120000"
"CM008230.1_RagTag",1400001,1450000,1424844,16254,0.0652,0.0285,0.0547,0.0809,"428","912","172.6468","288.727","157.477","335.5585","0.5023","-0.7289",2459,10418,"0.0627","0.0854",1292,"#190000"
"CM008230.1_RagTag",1450001,1500000,1476258,9164,0.0097,0.0086,0.0096,0.0245,"26","116","9.8706","37.2222","9.5664","42.6807","0.1586","-0.6615",972,4332,"0.042","0.0122",401,"#070000"
"CM008230.1_RagTag",1500001,1550000,1522730,7534,0.0171,0.0075,0.0146,0.0875,"37","85","12.5746","26.1881","13.6137","31.2746","-0.3858","-0.8378",677,3473,"0.0719","0.024",389,"#190000"
"CM008230.1_RagTag",1550001,1600000,1574235,11315,0.0124,0.0064,0.0095,0.005,"14","93","5.2159","30.4119","5.1511","34.2181","0.0603","-0.5737",430,4326,"0.005","0.0251",141,"#000000"
"CM008230.1_RagTag",1600001,1650000,1624100,10286,0.0175,0.0113,0.0182,0.1217,"31","131","9.0151","43.5444","11.406","48.1997","-1.0527","-0.5002",505,3749,"-0.0182","0.0287",189,"#260000"
"CM008230.1_RagTag",1650001,1700000,1677055,8618,0.0151,0.0107,0.0168,0.1374,"25","95","8.9706","34.5857","9.1984","34.954","-0.1232","-0.0544",660,2713,"0.1352","0.0514",63,"#2B0000"
"CM008230.1_RagTag",1700001,1750000,1726879,16533,0.0294,0.0153,0.0293,0.1401,"38","262","15.3278","85.7294","13.9816","96.3995","0.487","-0.576",408,5348,"0.0572","0.0401",146,"#2B0000"
"CM008230.1_RagTag",1750001,1800000,1773070,16934,0.0243,0.0149,0.0221,0.0638,"40","364","14.5746","114.3286","14.7175","133.929","-0.0492","-0.7627",485,7489,"0.0778","0.0481",143,"#120000"
"CM008230.1_RagTag",1800001,1850000,1825888,18069,0.0171,0.0083,0.015,0.0884,"27","92","10.2278","28.5714","9.9343","33.8502","0.1475","-0.8042",455,2899,"0.0553","0.0266",163,"#1C0000"
"CM008230.1_RagTag",1850001,1900000,1875193,19262,0.0187,0.008,0.0152,0.0688,"55","88","19.7849","28.7929","20.2365","32.3784","-0.114","-0.5708",1013,3600,"-0.0282","0.029",275,"#140000"
"CM008230.1_RagTag",1900001,1950000,1922419,11362,0.0038,0.0039,0.0045,0.0874,"None","6","None","2.2595","None","2.2076","None","0.1026",0,576,"None","None",0,"#190000"
"CM008230.1_RagTag",1950001,2000000,1974342,14643,0.0289,0.0214,0.0289,0.072,"47","277","17.5238","86.5444","17.293","101.9185","0.0679","-0.7853",526,3925,"0.0311","0.0713",212,"#140000"
"CM008230.1_RagTag",2000001,2050000,2025847,13508,0.0349,0.0273,0.0363,0.0803,"45","416","17.8087","130.0095","16.5572","153.0618","0.3843","-0.7852",398,4652,"0.0421","0.0742",171,"#190000"
"CM008230.1_RagTag",2050001,2100000,2073354,17578,0.0198,0.0069,0.0147,0.0508,"23","64","6.7071","19.4087","8.8705","23.548","-1.2786","-0.9011",437,2853,"-0.021","0.0902",41,"#0F0000"
"CM008230.1_RagTag",2100001,2150000,2127455,16602,0.0182,0.0187,0.0195,0.0288,"59","143","21.3857","49.4563","21.7083","52.615","-0.076","-0.3111",1226,2559,"-0.0106","0.0351",434,"#070000"
"CM008230.1_RagTag",2150001,2200000,2177497,21290,0.039,0.0743,0.0669,0.0573,"1","10","0.25","5.4286","0.3857","3.8567","-1.0548","2.0175",27,62,"None","None",0,"#120000"
"CM008230.1_RagTag",2200001,2250000,2225105,25245,0.0065,0.0071,0.0095,0.2216,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#450000"
"CM008230.1_RagTag",2250001,2300000,2276012,24355,0.0518,0.0675,0.0504,0,"None","None","None","None","None","None","None","None",0,0,"None","None",0,"#000000"
"CM008230.1_RagTag",2300001,2350000,2323175,18795,0.123,0.1248,0.1278,0.016,"2976","2551","971.5071","772.0714","1051.9736","901.7422","-0.3842","-0.7222",8196,6506,"0.0178","0.1265",4520,"#050000"
"CM008230.1_RagTag",2350001,2400000,2375055,17853,0.0938,0.1172,0.1167,0.0528,"1551","1253","547.7254","390.2198","570.6702","461.025","-0.2101","-0.8024",5759,3375,"0.0524","0.1292",1948,"#0F0000"
"CM008230.1_RagTag",2400001,2450000,2426565,17231,0.1055,0.1092,0.1225,0.0692,"1568","1291","566.8405","398.8151","576.9251","475.0066","-0.0913","-0.8381",5373,3692,"0.066","0.142",1914,"#140000"
"CM008230.1_RagTag",2450001,2500000,2475967,18768,0.117,0.1226,0.1273,0.0317,"3556","4036","1301.9222","1288.1738","1308.3837","1426.6685","-0.0258","-0.4876",11683,11077,"0.0406","0.1307",6164,"#070000"
"CM008230.1_RagTag",2500001,2550000,2525553,17686,0.0777,0.0764,0.0803,0.0214,"2381","2573","890.9532","874.9341","841.6496","909.5189","0.2942","-0.191",11700,11807,"0.0283","0.084",8743,"#050000"
"CM008230.1_RagTag",2550001,2600000,2574328,22129,0.0296,0.0304,0.0319,0.0332,"830","991","320.6127","336.6063","305.3876","364.6255","0.2603","-0.4014",10964,11034,"0.0619","0.0356",5566,"#0A0000"
