chrom	pos	cM_m	cM_f	LG
CHR1	10084216	13.889	14.316	LG01
CHR2	23051914	23.536	66.667	LG10
CHR2	23073294	23.536	66.667	LG10
CHR2	23076541	23.536	66.667	LG10
CHR3	27911914	23.536	65.278	LG10
CHR3	27911941	23.536	66.667	LG10
CHR3	27911973	23.536	66.667	LG10
CHR3	27916249	22.147	50.000	LG10
CHR3	27967519	23.536	66.667	LG10
CHR3	28169659	0.000	0.000	LG10
CHR3	28169694	4.092	16.667	LG10
CHR3	28437788	23.536	66.667	LG10
CHR3	28437820	23.536	66.667	LG10
CHR3	29274268	23.536	62.500	LG10
CHR5	21076991	22.147	62.500	LG10
CHR7	26625898	12.425	16.667	LG10
CHR7	26785437	23.536	73.611	LG10
CHR7	26794276	23.536	73.611	LG10
CHR7	26794985	22.147	62.500	LG10
CHR7	26795013	22.147	50.000	LG10
CHR7	26801805	23.536	68.056	LG10
CHR7	26801836	22.147	62.500	LG10
CHR7	26801856	22.147	62.500	LG10
CHR7	26801857	23.536	68.056	LG10
CHR7	26801869	23.536	68.056	LG10
CHR7	26808107	23.536	68.056	LG10
CHR7	30325132	22.147	62.500	LG10
CHR7	30325186	23.536	69.444	LG10
CHR7	30840955	23.536	76.389	LG10
CHR8	13656110	23.536	63.889	LG10
CHR8	13656132	23.536	66.667	LG10
CHR8	13656133	23.536	66.667	LG10
CHR8	14298096	23.536	68.056	LG10
CHR8	14298102	23.536	75.000	LG10
CHR8	14298111	23.536	69.444	LG10
CHR8	14298125	23.536	69.444	LG10
CHR8	15224931	22.147	62.500	LG10
CHR8	15450817	2.703	0.000	LG10
CHR8	15450963	0.000	0.000	LG10
CHR8	16430552	23.536	73.611	LG10
CHR10	1012599	23.536	94.444	LG10
CHR10	10617733	19.369	23.611	LG10
CHR10	10617744	19.369	23.611	LG10
CHR10	10911015	22.147	45.833	LG10
CHR10	10911021	22.147	50.000	LG10
CHR10	10911022	22.147	50.000	LG10
CHR10	10929863	19.369	38.889	LG10
CHR10	10929901	19.369	38.889	LG10
CHR10	11045712	20.758	43.056	LG10
CHR10	11100538	20.758	40.278	LG10
CHR10	11100545	20.758	40.278	LG10
CHR10	11105127	22.147	44.444	LG10
CHR10	11119855	20.758	40.278	LG10
