seqnames	start.x	end.x	coverage	mid	perc	length	start.y	end.y	color	chromosome	chromStarts	chromEnds	chromMid	genomic_position
CHR1	1	100000	108541	50000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	50001.5
CHR1	100001	200000	100000	150000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	150001.5
CHR1	200001	300000	100000	250000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	250001.5
CHR1	300001	400000	100000	350000.5	1	53807401	0	53807401	gray80	1	1	53807401	26903700.5	350001.5
CHR1	400001	500000	91249	450000.5	0.91249	53807401	0	53807401	gray80	1	1	53807401	26903700.5	450001.5
CHR1	500001	600000	98460	550000.5	0.9846	53807401	0	53807401	gray80	1	1	53807401	26903700.5	550001.5
CHR1	600001	700000	97349	650000.5	0.97349	53807401	0	53807401	gray80	1	1	53807401	26903700.5	650001.5
CHR1	700001	800000	91744	750000.5	0.91744	53807401	0	53807401	gray80	1	1	53807401	26903700.5	750001.5
CHR1	800001	900000	46605	850000.5	0.46605	53807401	0	53807401	gray80	1	1	53807401	26903700.5	850001.5
CHR1	900001	1000000	40727	950000.5	0.40727	53807401	0	53807401	gray80	1	1	53807401	26903700.5	950001.5
CHR1	1000001	1100000	24197	1050000.5	0.24197	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1050001.5
CHR1	1100001	1200000	37682	1150000.5	0.37682	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1150001.5
CHR1	1200001	1300000	31684	1250000.5	0.31684	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1250001.5
CHR1	1300001	1400000	31374	1350000.5	0.31374	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1350001.5
CHR1	1400001	1500000	30347	1450000.5	0.30347	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1450001.5
CHR1	1500001	1600000	26145	1550000.5	0.26145	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1550001.5
CHR1	1600001	1700000	26838	1650000.5	0.26838	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1650001.5
CHR1	1700001	1800000	42220	1750000.5	0.4222	53807401	0	53807401	gray80	1	1	53807401	26903700.5	1750001.5
