# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "12" "-p" "--countReadPairs" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/scratch/leuven/357/vsc35707/annotation/func-annotation/results/08_minimal_annotation/braker.minimal.annotated.gtf" "-o" "/scratch/leuven/357/vsc35707/rna-seq/counts/gene_counts.txt" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam
g1	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	826157;826157;826501;826501;827597;827597;827729;827998;827998;828179;828179;828423;828423;828973;828973;829195;829195;829541;829541;829833;829833;830092;830092;830295;830295;830519;830519	826433;826433;827539;827539;827942;827671;827942;828119;828119;828359;828359;828914;828914;829069;829069;829465;829465;829761;829761;830029;830029;830212;830212;830464;830464;830635;830635	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3651	1613	1868	1850	1840	1674	1930	1826	2169	2122	1856	2294	2348
g2	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	831049;831679;831935;832267;832539;833210;833510;833684;833907;834063;834551	831613;831857;832208;832472;833137;833441;833621;833841;834002;834485;834628	+;+;+;+;+;+;+;+;+;+;+	2922	442	394	411	311	314	324	306	486	404	369	422	461
g3	CHR1	834773	835951	-	1179	605	440	411	497	369	349	370	318	242	425	421	332
g4	CHR1;CHR1;CHR1;CHR1	836364;836364;836741;836741	836518;836518;837404;837485	-;-;-;-	900	58	40	27	40	29	30	96	51	89	41	153	44
g5	CHR1;CHR1;CHR1;CHR1;CHR1	844334;848302;849542;849984;858081	844388;848704;849917;850235;858329	+;+;+;+;+	1335	238	343	267	269	295	231	329	526	471	537	445	315
g6	CHR1;CHR1	859337;859638	859573;859745	-;-	345	258	319	186	211	314	271	525	411	276	359	770	256
g7	CHR1;CHR1;CHR1	869878;870810;875669	869982;870977;875824	-;-;-	429	62	35	27	29	35	38	47	63	52	37	63	41
g8	CHR1;CHR1;CHR1;CHR1;CHR1;CHR1	877870;879115;879654;879933;880197;880493	879042;879587;879862;880141;880429;880637	+;+;+;+;+;+	2442	749	834	827	741	675	601	743	904	856	931	960	917
g9	CHR1;CHR1;CHR1	880842;880959;881515	880897;881454;881580	-;-;-	618	3505	2178	2080	2195	1852	2316	2038	2397	1777	2907	2862	2334
g10	CHR1	906447	907130	+	684	676	443	539	536	548	454	346	384	475	518	462	458
g11	CHR1;CHR1;CHR1	907472;907567;907689	907508;907626;908524	+;+;+	933	2041	1784	2301	2493	2114	1851	1112	1229	1028	1404	1554	1343
g12	CHR1;CHR1;CHR1	908791;908991;909146	908937;909090;909231	-;-;-	333	1561	552	516	757	448	584	1052	857	451	750	873	777
